Kota,Bulan,Suhu_Min,Suhu_Max,Suhu_Rata,Kelembaban,Tekanan_Udara,Kecepatan_Angin,Arah_Angin,Lama_Penyinaran,Curah_Hujan_mm,Intensitas_Hujan
Wonosobo,10,17.0,28.5,22.4,99.0,926.4,4.9,U,5.9,135.1,Hujan Lebat
Semarang,9,24.4,32.3,28.0,72.2,1005.4,3.5,TL,7.8,0.0,Tidak Hujan
Salatiga,6,,28.5,24.7,80.1,959.6,7.4,TL,10.5,1.3,Hujan Ringan
Semarang,2,25.3,35.6,30.0,83.7,1014.3,2.0,T,5.2,24.3,Hujan Sedang
Wonosobo,3,19.2,28.3,24.0,98.3,922.0,10.3,T,7.0,78.7,Hujan Lebat
Kudus,9,23.5,33.5,28.1,75.7,1014.9,2.4,TL,11.1,0.0,Tidak Hujan
Wonosobo,4,19.0,,22.1,93.3,923.3,3.1,BL,6.8,65.7,Hujan Lebat
Magelang,2,21.2,30.9,26.8,81.3,964.7,5.1,B,6.4,130.5,Hujan Lebat
Semarang,2,23.4,32.1,27.2,90.3,1011.7,2.6,BD,4.3,26.6,Hujan Sedang
Purwokerto,11,24.2,32.3,27.6,91.3,,6.3,U,6.1,48.0,Hujan Sedang
Salatiga,3,21.6,32.6,27.3,93.1,959.0,3.4,TG,6.1,79.0,Hujan Lebat
Solo,5,25.4,32.5,28.3,69.0,1002.8,4.0,TG,6.6,0.0,Tidak Hujan
Salatiga,2,20.2,26.5,23.0,93.8,960.6,2.1,B,5.3,123.5,Hujan Lebat
Salatiga,8,20.1,31.9,26.2,83.3,,3.3,B,9.3,4.4,Hujan Ringan
Salatiga,12,21.2,27.4,23.9,99.0,957.3,5.9,BD,3.1,126.9,Hujan Lebat
Magelang,9,23.9,30.7,28.4,82.9,960.7,12.8,BD,10.9,18.0,Hujan Ringan
Wonosobo,8,16.8,25.9,20.7,91.0,923.5,6.0,S,8.7,55.8,Hujan Lebat
Cilacap,3,22.7,34.5,29.0,,1010.2,12.0,BL,5.1,26.3,Hujan Sedang
Cilacap,12,23.7,32.4,28.9,85.5,1015.0,4.3,S,,24.8,Hujan Sedang
Tegal,3,24.5,33.1,27.8,91.8,1010.9,7.4,BD,,21.4,Hujan Sedang
Semarang,1,24.7,34.6,30.1,85.6,1009.9,4.1,BD,8.6,35.9,Hujan Sedang
Semarang,11,27.6,32.4,29.5,85.0,1013.0,8.2,U,3.5,33.1,Hujan Sedang
Salatiga,4,22.0,27.7,24.6,97.2,957.7,,BL,0.0,130.2,Hujan Lebat
Semarang,6,24.5,34.2,29.2,82.4,1017.2,12.3,U,7.2,0.0,Tidak Hujan
Semarang,5,24.7,35.3,30.3,66.7,1011.0,11.8,B,6.4,0.0,Tidak Hujan
Pekalongan,7,24.5,33.3,28.5,,1013.9,5.1,B,9.5,0.0,Tidak Hujan
Cilacap,1,23.5,33.4,28.1,99.0,1011.5,7.4,T,6.3,24.5,Hujan Sedang
Salatiga,3,21.7,27.6,24.7,98.2,960.2,6.0,TL,6.6,95.5,Hujan Lebat
Semarang,10,27.9,33.8,30.6,87.7,1011.6,6.1,T,5.2,35.7,Hujan Sedang
Tegal,12,26.0,32.3,29.2,91.1,1010.4,4.1,T,0.4,39.6,Hujan Sedang
Kudus,10,25.3,33.8,29.4,79.6,1013.8,2.3,BD,5.6,19.4,Hujan Ringan
Magelang,12,22.3,27.5,25.1,99.0,967.9,9.0,S,4.6,140.8,Hujan Lebat
Cilacap,9,24.5,31.6,28.8,82.8,1010.6,10.7,BD,8.3,0.0,Tidak Hujan
Solo,11,25.2,33.1,29.8,98.0,1003.8,5.8,B,7.4,48.0,Hujan Sedang
Purwokerto,8,23.5,33.0,28.1,79.6,1001.4,4.0,TL,9.4,0.0,Tidak Hujan
Purwokerto,11,24.9,30.1,28.0,85.5,997.2,7.7,S,5.0,33.7,Hujan Sedang
Wonosobo,8,19.8,25.7,22.4,85.6,922.7,5.7,TG,8.6,73.4,Hujan Lebat
Cilacap,10,21.1,29.2,25.0,89.7,1013.4,2.7,TL,4.6,25.3,Hujan Sedang
Pekalongan,3,23.5,33.0,28.2,89.5,1012.9,2.7,U,2.8,34.7,Hujan Sedang
Pekalongan,3,26.3,32.1,28.6,86.2,1013.0,3.0,TG,1.5,23.2,Hujan Sedang
Semarang,4,25.5,33.1,29.3,88.1,1013.9,3.8,S,5.1,23.3,Hujan Sedang
Tegal,2,24.3,33.4,28.5,90.8,1012.2,2.9,BD,6.7,39.9,Hujan Sedang
Solo,8,26.7,34.0,31.7,69.2,1000.8,5.5,T,6.1,0.0,Tidak Hujan
Kudus,11,25.7,30.1,27.7,92.6,1009.0,8.7,S,3.8,42.3,Hujan Sedang
Magelang,11,22.1,26.9,23.8,86.5,968.8,,BL,5.7,116.0,Hujan Lebat
Magelang,12,22.0,30.7,27.0,92.6,968.7,4.5,BL,6.2,60.6,Hujan Lebat
Salatiga,1,21.7,28.0,25.5,86.2,959.8,3.9,U,2.9,57.2,Hujan Lebat
Solo,3,24.6,35.5,29.5,83.5,1005.8,3.8,TG,4.4,49.7,Hujan Sedang
Kudus,2,25.8,,29.5,75.9,1015.6,2.4,T,4.7,13.6,Hujan Ringan
Salatiga,11,21.8,30.8,25.7,89.6,961.5,19.3,TG,9.2,85.0,Hujan Lebat
Semarang,11,25.1,,29.0,84.7,1012.2,2.3,TG,5.9,49.5,Hujan Sedang
Salatiga,4,20.6,30.6,26.1,,958.4,8.4,T,3.2,98.0,Hujan Lebat
Kudus,5,28.2,32.7,31.0,83.2,1011.4,2.8,B,6.3,0.0,Tidak Hujan
Cilacap,3,25.6,,30.5,91.1,1013.2,7.8,B,7.3,49.3,Hujan Sedang
Semarang,7,,33.6,29.6,84.8,1012.1,3.1,T,7.8,0.0,Tidak Hujan
Semarang,9,25.7,32.9,28.3,85.2,1009.6,,TL,6.8,2.4,Hujan Ringan
Pekalongan,10,22.5,31.5,26.0,87.8,,4.1,U,5.8,41.4,Hujan Sedang
Tegal,5,25.8,31.6,28.8,72.2,1017.2,2.3,TL,,0.0,Tidak Hujan
Solo,1,23.1,32.5,27.7,86.1,,2.8,TL,3.1,33.5,Hujan Sedang
Solo,11,25.4,33.7,29.7,83.3,,5.7,BD,4.8,46.1,Hujan Sedang
Pekalongan,12,25.2,34.4,30.3,87.8,1013.6,9.2,U,5.7,21.2,Hujan Sedang
Salatiga,1,24.3,29.7,26.0,89.6,959.8,6.1,BL,2.8,137.8,Hujan Lebat
Tegal,5,24.1,34.0,28.6,,1013.1,14.1,S,12.0,0.0,Tidak Hujan
Cilacap,4,24.4,30.6,27.4,94.0,1015.0,18.0,TG,1.8,34.8,Hujan Sedang
Tegal,10,26.6,33.8,29.7,82.0,1013.2,6.9,BL,0.4,43.7,Hujan Sedang
Solo,1,25.7,32.1,28.1,82.4,1004.8,3.0,U,4.2,41.0,Hujan Sedang
Pekalongan,4,,33.4,29.7,85.1,1011.7,10.3,S,7.9,15.8,Hujan Ringan
Kudus,4,25.6,34.3,29.9,87.0,1009.8,8.0,S,9.1,36.3,Hujan Sedang
Cilacap,6,25.7,32.6,29.2,81.6,1009.2,5.0,T,6.1,2.0,Hujan Ringan
Kudus,12,24.9,32.4,28.1,84.7,1011.6,9.5,BL,2.6,42.0,Hujan Sedang
Purwokerto,5,24.6,33.3,28.9,91.4,1001.1,12.4,U,6.9,4.6,Hujan Ringan
Pekalongan,5,25.4,33.3,28.9,81.6,1014.9,4.3,U,8.3,0.0,Tidak Hujan
Kudus,9,24.2,31.5,27.1,73.1,1006.1,10.2,BL,,0.0,Tidak Hujan
Tegal,8,23.8,33.5,28.7,87.8,1014.9,5.5,TL,8.6,0.0,Tidak Hujan
Cilacap,1,25.4,32.3,28.9,,1012.2,3.4,BD,4.2,35.4,Hujan Sedang
Cilacap,1,25.2,29.7,27.9,95.1,1014.9,,T,7.4,41.8,Hujan Sedang
Magelang,5,19.8,30.5,25.6,77.3,970.4,4.5,S,8.8,7.1,Hujan Ringan
Tegal,11,25.2,33.7,29.5,89.7,1010.3,17.9,T,3.2,38.4,Hujan Sedang
Tegal,3,25.4,32.8,28.7,91.5,1015.1,,U,4.0,46.5,Hujan Sedang
Semarang,9,26.9,33.3,30.0,80.4,1011.3,2.2,B,8.6,0.0,Tidak Hujan
Cilacap,7,24.3,31.5,28.0,,1009.3,5.6,BL,6.7,3.7,Hujan Ringan
Kudus,10,25.4,31.6,28.4,81.0,1012.8,2.3,B,5.2,48.0,Hujan Sedang
Tegal,6,26.0,33.5,30.1,72.5,1013.3,3.1,TL,6.5,0.0,Tidak Hujan
Purwokerto,2,22.1,32.0,26.6,95.3,1002.0,9.0,U,5.9,101.9,Hujan Lebat
Wonosobo,6,18.6,27.2,22.8,87.2,922.8,18.5,S,6.4,112.5,Hujan Lebat
Kudus,7,25.5,34.5,29.8,65.6,1009.8,17.4,T,9.5,0.0,Tidak Hujan
Purwokerto,5,23.5,31.5,26.1,87.8,999.1,17.5,S,7.7,8.4,Hujan Ringan
Semarang,4,26.3,33.7,29.8,84.2,1013.7,3.2,U,6.7,3.3,Hujan Ringan
Salatiga,10,20.9,29.3,25.3,90.2,959.2,2.1,U,6.3,111.5,Hujan Lebat
Solo,1,22.2,31.9,27.9,91.2,1000.6,8.0,TL,,32.4,Hujan Sedang
Wonosobo,6,19.9,26.3,23.0,89.2,,3.3,TL,8.3,53.6,Hujan Lebat
Magelang,1,,32.4,26.7,89.6,967.0,8.8,S,5.8,133.2,Hujan Lebat
Solo,7,23.3,33.9,28.6,,1002.6,5.1,BL,5.9,4.7,Hujan Ringan
Wonosobo,10,17.8,24.9,22.5,99.0,919.5,8.3,TG,8.2,124.7,Hujan Lebat
Wonosobo,1,21.9,27.3,25.5,94.8,923.8,5.9,BD,4.7,100.4,Hujan Lebat
Pekalongan,3,24.2,28.5,26.6,91.0,1008.5,15.0,TL,4.9,43.5,Hujan Sedang
Pekalongan,12,24.7,32.5,29.0,84.0,1015.8,5.4,B,6.8,5.7,Hujan Ringan
Wonosobo,7,21.1,25.9,23.4,82.3,919.6,8.0,TL,5.7,127.3,Hujan Lebat
Semarang,4,26.1,34.5,29.5,91.0,,6.3,S,4.3,46.7,Hujan Sedang
Tegal,7,27.6,34.5,30.8,76.1,1009.8,3.1,TL,,0.0,Tidak Hujan
Tegal,6,25.3,34.7,30.5,80.5,1012.0,2.8,TG,9.5,0.0,Tidak Hujan
Magelang,7,23.6,30.2,26.3,84.3,968.8,9.9,B,8.4,12.7,Hujan Ringan
Purwokerto,11,21.3,30.7,25.0,89.0,1003.2,8.5,B,6.7,26.9,Hujan Sedang
Solo,2,24.4,31.9,28.0,77.8,1004.5,2.6,TL,7.3,8.7,Hujan Ringan
Cilacap,4,25.2,30.6,28.9,87.1,1014.3,10.9,TL,2.8,28.2,Hujan Sedang
Magelang,10,24.0,30.5,27.1,98.5,967.3,12.5,S,2.2,132.2,Hujan Lebat
Solo,3,24.3,32.4,28.3,85.4,1003.8,4.6,TG,4.1,33.7,Hujan Sedang
Wonosobo,2,19.4,27.4,23.3,86.3,921.2,2.7,U,8.5,119.3,Hujan Lebat
Semarang,3,24.1,32.4,29.6,80.8,1009.3,19.8,T,6.5,24.6,Hujan Sedang
Solo,11,25.6,32.0,28.5,81.3,1003.1,2.4,B,3.6,27.5,Hujan Sedang
Solo,12,22.6,34.6,27.6,84.3,1001.2,2.7,BL,4.1,35.9,Hujan Sedang
Pekalongan,6,24.6,34.4,29.7,79.3,1015.0,2.5,S,8.1,0.0,Tidak Hujan
Semarang,4,24.9,33.3,29.3,92.3,1012.6,10.1,S,2.2,23.8,Hujan Sedang
Kudus,11,25.0,32.4,29.3,79.8,1013.2,7.4,BL,3.9,38.9,Hujan Sedang
Pekalongan,9,24.8,32.6,28.5,76.5,1019.5,6.9,BD,9.6,0.0,Tidak Hujan
Kudus,5,26.1,30.7,28.0,84.2,,5.1,TL,10.0,0.0,Tidak Hujan
Semarang,5,25.2,34.3,29.9,69.8,1014.1,4.9,T,6.3,0.0,Tidak Hujan
Magelang,3,22.2,29.0,24.4,90.2,967.3,8.9,T,4.7,111.9,Hujan Lebat
Solo,10,22.5,32.6,26.9,89.5,1004.0,2.2,U,3.2,79.5,Hujan Lebat
Purwokerto,5,21.8,31.7,26.1,76.0,1002.7,3.6,BD,8.7,0.0,Tidak Hujan
Tegal,8,27.4,34.2,30.7,,1012.0,19.6,U,11.0,0.0,Tidak Hujan
Wonosobo,4,18.8,27.2,22.6,93.6,923.2,11.8,TL,5.3,139.8,Hujan Lebat
Semarang,10,23.0,34.6,28.9,81.0,1009.1,5.6,U,5.2,23.3,Hujan Sedang
Magelang,11,23.9,28.6,26.1,99.0,965.9,8.6,T,7.8,129.8,Hujan Lebat
Solo,10,23.3,35.5,29.2,88.0,1002.2,11.5,BL,5.4,34.3,Hujan Sedang
Purwokerto,10,22.0,33.6,28.6,94.4,1002.5,2.4,TL,4.4,114.9,Hujan Lebat
Wonosobo,3,17.1,27.1,22.5,98.0,921.6,16.0,TL,5.5,101.0,Hujan Lebat
Wonosobo,4,18.0,26.8,22.7,91.7,923.4,8.2,TL,7.2,52.0,Hujan Lebat
Wonosobo,9,16.6,26.6,21.7,82.0,924.3,7.7,T,9.3,20.9,Hujan Sedang
Solo,3,22.9,31.6,27.4,87.9,1002.0,2.8,BD,7.3,36.3,Hujan Sedang
Magelang,5,22.3,30.7,27.3,82.8,971.6,5.4,TL,9.0,6.4,Hujan Ringan
Tegal,11,26.5,30.8,28.1,87.3,1014.2,12.8,TL,4.9,25.9,Hujan Sedang
Kudus,3,25.3,30.3,27.7,,1010.2,6.4,TL,1.9,49.0,Hujan Sedang
Semarang,7,23.1,31.6,27.6,85.8,1009.8,3.5,T,7.2,0.0,Tidak Hujan
Purwokerto,2,24.5,28.9,27.6,93.4,1001.8,5.8,BD,7.1,22.7,Hujan Sedang
Purwokerto,3,24.6,32.5,28.9,98.2,1007.2,20.9,S,4.7,45.5,Hujan Sedang
Wonosobo,7,18.8,26.9,22.5,86.4,922.4,4.5,TG,7.8,95.2,Hujan Lebat
Wonosobo,4,18.1,27.6,23.1,91.5,921.2,8.0,TL,0.4,63.0,Hujan Lebat
Cilacap,8,23.3,31.6,27.6,76.4,1011.6,8.1,B,7.9,0.0,Tidak Hujan
Magelang,9,20.5,30.9,24.9,86.8,966.5,15.6,U,6.1,33.2,Hujan Sedang
Salatiga,8,22.3,28.4,25.6,84.4,960.9,15.9,U,7.8,39.2,Hujan Sedang
Magelang,5,23.5,26.4,24.6,79.4,965.4,14.4,S,7.6,10.9,Hujan Ringan
Wonosobo,5,18.1,24.9,21.0,86.9,918.0,2.2,S,6.5,101.4,Hujan Lebat
Wonosobo,12,18.0,27.6,22.4,85.8,922.8,7.6,BL,7.1,65.3,Hujan Lebat
Kudus,1,25.9,33.3,29.2,81.1,1014.2,9.0,S,6.9,8.9,Hujan Ringan
Magelang,2,21.5,28.5,25.0,85.7,970.1,2.7,TL,7.2,33.3,Hujan Sedang
Cilacap,5,25.5,34.3,30.6,,1007.6,2.9,TG,,14.9,Hujan Ringan
Semarang,8,25.2,33.8,29.6,83.3,1015.2,11.7,B,,0.0,Tidak Hujan
Semarang,5,23.1,34.8,28.5,73.6,1010.5,22.2,U,11.6,0.0,Tidak Hujan
Pekalongan,5,22.7,32.2,26.7,71.5,1010.3,13.8,S,6.2,0.0,Tidak Hujan
Magelang,2,21.0,,26.2,89.8,966.9,2.1,U,4.4,137.4,Hujan Lebat
Salatiga,9,24.3,30.0,27.6,84.0,961.1,6.5,U,11.3,8.7,Hujan Ringan
Wonosobo,5,19.4,27.1,23.2,81.1,926.6,3.7,U,6.4,31.1,Hujan Sedang
Pekalongan,5,26.9,30.1,28.4,83.1,1018.3,2.6,TG,8.4,0.0,Tidak Hujan
Salatiga,3,20.0,30.9,25.2,96.5,963.1,3.5,U,7.4,147.8,Hujan Lebat
Purwokerto,11,24.3,31.6,28.5,90.1,1001.2,5.2,TG,2.0,36.1,Hujan Sedang
Solo,8,23.8,32.6,27.7,80.5,1001.1,3.6,BD,5.4,9.4,Hujan Ringan
Cilacap,4,23.6,31.6,27.5,96.0,,6.1,BL,4.8,51.3,Hujan Lebat
Pekalongan,7,24.9,30.5,27.4,79.3,1012.8,,U,5.4,0.0,Tidak Hujan
Magelang,7,23.0,28.7,26.3,75.1,967.1,3.5,TL,7.5,1.5,Hujan Ringan
Semarang,12,24.2,30.0,27.7,78.6,1014.2,10.3,S,7.4,10.6,Hujan Ringan
Tegal,5,24.5,34.5,29.1,87.2,1017.7,,U,8.5,14.0,Hujan Ringan
Solo,12,26.0,32.3,28.8,92.8,1000.6,4.0,S,2.6,44.2,Hujan Sedang
Tegal,4,25.4,33.1,28.9,85.1,1013.3,7.5,B,3.4,27.0,Hujan Sedang
Purwokerto,12,22.1,31.5,26.9,85.8,1002.9,3.1,T,3.5,26.4,Hujan Sedang
Kudus,8,24.4,35.3,29.6,77.6,1009.4,3.7,T,9.5,0.0,Tidak Hujan
Semarang,5,25.2,32.0,28.3,74.4,1013.6,5.2,B,4.7,0.0,Tidak Hujan
Wonosobo,5,19.4,25.4,21.9,85.0,921.3,8.5,T,9.6,20.5,Hujan Sedang
Wonosobo,3,18.4,,22.5,94.6,928.2,4.6,TG,5.3,63.7,Hujan Lebat
Solo,1,25.4,31.9,27.6,84.5,1002.5,10.4,TG,2.7,43.0,Hujan Sedang
Tegal,2,24.9,32.7,29.4,84.4,1016.1,9.4,S,2.4,29.4,Hujan Sedang
Purwokerto,7,,32.6,27.2,87.9,1000.8,4.5,TG,6.7,1.2,Hujan Ringan
Solo,7,23.5,31.3,27.7,80.2,998.7,6.9,S,6.0,1.4,Hujan Ringan
Solo,5,25.0,33.6,29.0,76.6,1001.9,2.2,U,9.7,0.0,Tidak Hujan
Tegal,7,27.4,31.2,29.2,73.3,1014.5,11.2,TG,7.0,0.0,Tidak Hujan
Magelang,8,24.8,31.8,28.6,82.8,969.5,,T,6.3,3.9,Hujan Ringan
Wonosobo,1,18.6,27.8,23.1,91.6,919.4,5.0,T,4.2,99.4,Hujan Lebat
Pekalongan,4,24.3,31.5,27.5,87.7,1012.4,16.6,T,6.1,30.9,Hujan Sedang
Tegal,12,25.5,33.2,29.8,89.7,1012.1,2.5,B,5.8,49.2,Hujan Sedang
Semarang,3,26.0,35.0,31.4,86.1,1011.6,2.7,S,7.0,25.1,Hujan Sedang
Kudus,2,24.2,33.4,28.7,88.3,1009.9,5.0,T,1.1,44.3,Hujan Sedang
Pekalongan,3,25.4,30.5,28.3,84.2,1012.8,4.5,TG,4.8,36.9,Hujan Sedang
Solo,10,24.3,33.8,27.7,90.5,1002.1,8.5,S,4.5,25.6,Hujan Sedang
Kudus,11,27.3,33.8,29.8,91.8,1009.0,9.1,TG,3.9,39.3,Hujan Sedang
Salatiga,9,21.5,32.1,26.0,91.9,962.4,9.0,S,9.0,27.6,Hujan Sedang
Purwokerto,4,21.3,31.2,25.6,90.3,1008.8,5.4,TL,5.4,36.0,Hujan Sedang
Salatiga,4,24.2,29.0,26.9,99.0,956.3,8.9,T,6.5,98.5,Hujan Lebat
Cilacap,3,21.4,32.7,26.6,91.8,1015.8,4.7,U,3.1,35.6,Hujan Sedang
Solo,6,25.4,33.8,29.4,75.1,1001.3,2.2,TL,4.7,9.2,Hujan Ringan
Wonosobo,2,18.3,27.2,23.0,94.2,919.9,7.2,B,7.1,127.5,Hujan Lebat
Tegal,7,24.5,34.4,29.4,81.1,1011.8,6.3,T,9.3,0.0,Tidak Hujan
Tegal,7,25.4,35.9,31.2,82.3,,5.5,S,9.6,0.0,Tidak Hujan
Kudus,5,24.5,32.9,28.8,71.7,1013.1,12.1,BD,7.8,0.0,Tidak Hujan
Tegal,6,24.4,34.8,29.3,80.1,1011.0,12.0,S,7.1,0.0,Tidak Hujan
Pekalongan,2,27.8,35.4,30.6,84.8,1018.8,27.6,BL,3.9,27.5,Hujan Sedang
Semarang,7,,34.8,30.0,80.5,1016.6,20.0,U,9.5,0.0,Tidak Hujan
Pekalongan,4,25.4,30.5,27.9,94.2,1011.4,18.8,TL,7.4,48.8,Hujan Sedang
Solo,5,24.1,35.1,29.0,,1004.8,,TG,3.5,0.0,Tidak Hujan
Cilacap,1,22.5,,27.5,94.1,1009.8,6.9,BD,3.5,43.1,Hujan Sedang
Tegal,1,24.9,33.6,28.8,81.0,1014.6,2.2,T,4.1,38.0,Hujan Sedang
Magelang,10,23.3,30.7,26.8,89.9,969.9,5.7,BL,3.0,50.0,Hujan Lebat
Semarang,9,25.4,35.4,31.0,78.9,,12.6,BD,7.8,13.9,Hujan Ringan
Semarang,10,25.4,34.5,29.7,,1017.6,11.4,TG,5.0,36.6,Hujan Sedang
Semarang,3,,36.1,31.3,76.5,1014.6,8.0,TL,3.7,36.0,Hujan Sedang
Tegal,4,26.3,32.9,30.3,82.5,1010.3,17.8,BL,4.9,43.9,Hujan Sedang
Tegal,6,23.4,34.9,29.0,73.0,1010.0,3.6,B,8.1,0.0,Tidak Hujan
Magelang,5,24.0,30.7,28.1,80.5,967.8,11.9,TL,8.8,4.2,Hujan Ringan
Salatiga,8,21.6,28.2,25.9,85.4,963.2,,T,9.0,48.7,Hujan Sedang
Wonosobo,2,18.8,23.6,20.6,99.0,920.1,4.1,BL,7.5,149.7,Hujan Lebat
Cilacap,6,24.7,32.9,29.4,91.0,1018.2,11.5,S,6.8,11.2,Hujan Ringan
Magelang,6,22.2,29.8,26.6,83.9,972.7,2.9,TL,8.1,17.7,Hujan Ringan
Pekalongan,11,23.8,30.9,27.6,95.8,1013.3,6.1,B,6.7,39.5,Hujan Sedang
Cilacap,2,24.2,35.8,30.0,,1011.7,16.1,B,5.7,43.0,Hujan Sedang
Salatiga,5,22.5,28.0,26.2,82.8,963.3,10.6,TL,8.3,12.5,Hujan Ringan
Semarang,9,26.6,34.1,30.2,74.0,1012.0,2.5,TL,8.6,0.0,Tidak Hujan
Kudus,8,24.0,33.9,29.0,71.0,1010.5,2.4,TL,8.1,0.0,Tidak Hujan
Magelang,10,24.2,31.1,28.1,86.7,971.0,4.1,U,4.5,148.6,Hujan Lebat
Pekalongan,1,24.2,33.0,28.7,88.0,,2.4,BD,7.5,27.1,Hujan Sedang
Tegal,6,26.4,32.0,28.7,78.6,1006.9,3.2,T,9.2,0.0,Tidak Hujan
Semarang,10,,33.3,28.9,,1012.0,2.4,B,5.2,22.1,Hujan Sedang
Purwokerto,2,23.7,28.9,26.7,90.2,1009.9,5.1,BD,7.6,50.0,Hujan Sedang
Magelang,12,21.7,30.6,26.3,91.1,971.9,40.0,BL,2.6,122.6,Hujan Lebat
Kudus,6,24.0,33.8,28.8,74.1,1009.7,2.3,U,3.3,0.0,Tidak Hujan
Solo,5,25.3,32.1,28.5,80.0,997.1,,TL,6.3,17.6,Hujan Ringan
Semarang,1,27.0,31.8,30.1,85.7,1012.7,4.7,BD,6.8,23.6,Hujan Sedang
Semarang,7,26.5,31.0,28.2,86.3,1012.2,9.0,T,6.6,12.7,Hujan Ringan
Purwokerto,6,23.5,28.1,25.7,80.1,1005.7,5.7,B,5.9,0.0,Tidak Hujan
Pekalongan,6,24.9,30.6,27.9,87.3,1012.3,5.7,B,9.3,0.0,Tidak Hujan
Semarang,6,24.7,33.7,29.7,75.2,1010.9,8.2,TL,6.5,0.0,Tidak Hujan
Cilacap,10,24.8,32.2,28.2,95.1,,25.2,TL,0.6,144.9,Hujan Lebat
Pekalongan,10,24.6,33.7,29.0,92.7,1017.8,10.9,B,3.2,22.1,Hujan Sedang
Cilacap,7,23.7,29.0,26.0,81.4,1014.1,2.7,T,7.9,0.0,Tidak Hujan
Solo,2,25.7,30.9,28.3,76.1,1002.9,,U,5.5,36.0,Hujan Sedang
Wonosobo,1,19.9,26.2,22.1,94.5,924.0,4.6,TL,3.0,124.3,Hujan Lebat
Wonosobo,3,17.6,25.2,20.8,95.8,921.1,,BD,6.0,116.0,Hujan Lebat
Solo,8,25.7,31.5,28.2,79.4,1002.2,11.3,BD,9.8,0.0,Tidak Hujan
Salatiga,5,21.1,29.1,25.0,90.7,957.4,23.4,TL,3.6,40.6,Hujan Sedang
Kudus,10,24.0,33.9,28.6,83.5,1014.5,4.9,T,3.7,32.8,Hujan Sedang
Semarang,11,26.1,34.8,30.7,84.7,1014.8,17.0,TL,3.7,20.6,Hujan Sedang
Tegal,8,22.8,33.2,27.8,73.2,1015.6,6.5,B,9.3,0.0,Tidak Hujan
Magelang,7,23.2,,27.8,83.0,968.0,15.9,B,9.4,16.5,Hujan Ringan
Magelang,9,21.5,29.2,25.7,79.2,968.0,9.2,S,11.0,9.1,Hujan Ringan
Cilacap,8,24.3,30.5,27.1,95.6,1015.5,2.5,BD,6.1,11.5,Hujan Ringan
Wonosobo,10,17.3,24.9,21.7,93.1,,5.0,TL,6.0,70.7,Hujan Lebat
Purwokerto,8,22.3,31.6,26.3,,1004.5,8.7,T,5.1,4.3,Hujan Ringan
Semarang,10,24.1,,29.1,80.0,1009.9,5.9,BD,,28.2,Hujan Sedang
Cilacap,9,25.3,33.3,30.2,81.4,1010.9,22.3,BL,8.8,0.0,Tidak Hujan
Wonosobo,6,18.4,24.9,22.0,84.5,924.6,5.4,BL,7.0,51.8,Hujan Lebat
Purwokerto,8,21.9,28.0,25.6,82.3,1001.3,,B,10.6,0.0,Tidak Hujan
Pekalongan,12,23.9,32.4,28.9,86.8,1011.0,3.7,U,3.2,39.2,Hujan Sedang
Magelang,9,24.0,31.8,28.4,81.6,968.1,12.4,TL,4.5,9.0,Hujan Ringan
Purwokerto,7,26.1,28.4,26.5,88.6,1008.4,18.7,TG,6.3,13.5,Hujan Ringan
Magelang,11,22.6,30.3,26.2,92.5,973.2,14.2,TG,4.8,91.5,Hujan Lebat
Cilacap,1,23.4,33.1,28.4,87.0,1016.1,10.1,TL,5.6,20.5,Hujan Sedang
Salatiga,4,21.6,29.9,25.6,90.6,961.1,,TL,5.9,85.3,Hujan Lebat
Wonosobo,5,17.3,27.4,23.1,86.8,928.9,10.8,BL,4.6,74.9,Hujan Lebat
Semarang,5,26.5,32.1,29.5,79.5,1011.1,5.1,U,8.7,0.0,Tidak Hujan
Pekalongan,3,24.9,34.2,29.9,89.5,1007.5,3.0,S,4.6,35.6,Hujan Sedang
Salatiga,6,,31.2,26.6,80.8,956.0,3.4,TL,8.2,10.4,Hujan Ringan
Wonosobo,11,19.0,29.1,24.9,85.4,923.9,2.3,BL,4.6,77.9,Hujan Lebat
Pekalongan,7,24.0,31.9,28.3,82.3,1013.0,3.5,U,8.9,0.0,Tidak Hujan
Cilacap,9,23.0,31.6,27.7,83.6,1015.3,2.0,BL,7.3,0.0,Tidak Hujan
Tegal,7,24.0,36.5,29.4,75.5,1013.6,7.7,TL,,0.0,Tidak Hujan
Solo,1,24.0,32.3,29.2,83.5,1003.0,18.7,S,6.1,45.1,Hujan Sedang
Tegal,4,24.2,31.4,27.8,77.2,1014.4,8.7,B,0.0,43.9,Hujan Sedang
Tegal,4,26.6,31.8,29.5,89.0,1014.2,2.0,TG,5.8,41.5,Hujan Sedang
Pekalongan,2,24.1,33.4,28.1,85.8,1016.0,20.0,B,4.9,37.4,Hujan Sedang
Pekalongan,12,25.5,32.7,28.4,89.6,1017.8,4.3,B,4.5,29.8,Hujan Sedang
Wonosobo,6,16.9,25.8,20.6,81.4,923.4,5.9,B,5.7,48.2,Hujan Sedang
Purwokerto,12,24.4,33.9,28.9,89.9,1001.4,6.9,S,8.7,27.8,Hujan Sedang
Wonosobo,11,18.9,27.7,23.4,98.7,924.3,4.1,BD,4.4,101.9,Hujan Lebat
Semarang,12,24.8,36.9,30.7,,1012.8,15.4,S,4.6,47.1,Hujan Sedang
